,Scientific Names,EngName,Sites (10 chestnuts in total),taxon_id
0,Hirundo rustica,Barn Swallow,3,11901
1,Phoenicurus ochruros,Black Redstart,5,13000
2,Dryocopus martius,Black Woodpecker,6,17835
3,Aegolius funereus,Boreal Owl,1,20359
4,Emberiza cirlus,Cirl Bunting,1,9192
5,Periparus ater,Coal Tit,10,144823
6,Buteo buteo,Common Buzzard,9,1542783
7,Fringilla coelebs,Common Chaffinch,10,10070
8,Phylloscopus collybita,Common Chiffchaff,8,117016
9,Cuculus canorus,Common Cuckoo,9,1907
10,Regulus ignicapilla,Common Firecrest,5,117097
11,Delichon urbicum,Common House-Martin,4,64705
12,Corvus corax,Common Raven,7,8010
13,Phoenicurus phoenicurus,Common Redstart,7,12989
14,Apus apus,Common Swift,5,6611
15,Columba palumbus,Common Wood-Pigeon,6,3048
16,Lophophanes cristatus,Crested Tit,4,144830
17,Prunella modularis,Dunnock,4,13988
18,Turdus merula,Eurasian Blackbird,10,12716
19,Sylvia atricapilla,Eurasian Blackcap,10,15282
20,Cyanistes caeruleus,Eurasian Blue Tit,10,144849
21,Pyrrhula pyrrhula,Eurasian Bullfinch,1,9459
22,Bubo bubo,Eurasian Eagle-Owl,1,20034
23,Oriolus oriolus,Eurasian Golden Oriole,5,7863
24,Picus viridis,Eurasian Green Woodpecker,10,144243
25,Upupa epops,Eurasian Hoopoe,2,20969
26,Garrulus glandarius,Eurasian Jay,10,8088
27,Falco tinnunculus,Eurasian Kestrel,5,472766
28,Caprimulgus europaeus,Eurasian Nightjar,3,19410
29,Sitta europaea,Eurasian Nuthatch,10,14824
30,Otus scops,Eurasian Scops-Owl,1,20244
31,Spinus spinus,Eurasian Siskin,4,144410
32,Passer montanus,Eurasian Tree Sparrow,1,13851
33,Certhia familiaris,Eurasian Treecreeper,3,7450
34,Troglodytes troglodytes,Eurasian Wren,7,15964
35,Jynx torquilla,Eurasian Wryneck,3,18448
36,Carduelis carduelis,European Goldfinch,4,145310
37,Chloris chloris,European Greenfinch,2,145356
38,Pernis apivorus,European Honey-buzzard,2,5325
39,Ficedula hypoleuca,European Pied Flycatcher,7,204512
40,Erithacus rubecula,European Robin,9,13094
41,Serinus serinus,European Serin,5,9227
42,Sturnus vulgaris,European Starling,3,14850
43,Turdus pilaris,Fieldfare,1,12707
44,Regulus regulus,Goldcrest,2,1289388
45,Picus canus,Gray-headed Woodpecker,3,18301
46,Ardea cinerea,Gray Heron,3,4954
47,Motacilla cinerea,Gray Wagtail,5,13688
48,Dendrocopos major,Great Spotted Woodpecker,10,17871
49,Parus major,Great Tit,10,203153
50,Curruca communis,Hawfinch,8,1289470
51,Coccothraustes coccothraustes,Hooded Crow,6,9799
52,Dryobates minor,Lesser Spotted Woodpecker,1,792977
53,Athene noctua,Little Owl,5,19998
54,Asio otus,Long-eared Owl,1,19765
55,Aegithalos caudatus,Long-tailed Tit,10,7278
56,Poecile palustris,Marsh Tit,10,144809
57,Turdus viscivorus,Mistle Thrush,5,12735
58,Accipiter gentilis,Northern Goshawk,1,1579015
59,Lanius collurio,Red-backed Shrike,1,12038
60,Milvus milvus,Red Kite,1,5265
61,Emberiza cia,Rock Bunting,4,9193
62,Certhia brachydactyla,Short-toed Treecreeper,9,7462
63,Turdus philomelos,Song Thrush,9,12748
64,Muscicapa striata,Spotted Flycatcher,10,12971
65,Strix aluco,Tawny Owl,10,19898
66,Phylloscopus bonelli,Western Bonelli's Warbler,7,117007
67,Motacilla alba,White Wagtail,2,13695
68,Poecile montanus,Willow Tit,1,144812
69,Phylloscopus sibilatrix,Wood Warbler,4,117048
